second,distance,motion,lightIntensity,occupied
1,282.0,0,4.17,1
2,282.0,0,4.17,1
3,338.0,0,4.17,1
4,282.0,0,4.17,1
5,282.0,0,4.17,1
6,336.0,0,4.17,1
7,283.0,0,4.17,1
8,281.0,0,4.17,1
9,280.0,0,4.17,1
10,283.0,1,4.17,1
11,283.0,0,4.17,1
12,281.0,0,4.17,1
13,282.0,0,4.17,1
14,283.0,0,4.17,1
15,283.0,0,4.17,1
16,282.0,0,4.17,1
17,284.0,0,4.17,1
18,282.0,0,4.17,1
19,282.0,0,4.17,1
20,281.0,0,3.33,1
21,283.0,0,3.33,1
22,283.0,0,3.33,1
23,282.0,0,3.33,1
24,282.0,0,4.17,1
25,284.0,0,4.17,1
26,285.0,0,4.17,1
27,282.0,0,4.17,1
28,281.0,0,4.17,1
29,281.0,1,4.17,1
30,282.0,0,4.17,1
31,282.0,0,4.17,1
32,286.0,0,4.17,1
33,338.0,0,4.17,1
34,282.0,0,4.17,1
35,2355.0,0,4.17,1
36,282.0,0,4.17,1
37,279.0,0,4.17,1
38,282.0,0,4.17,1
39,283.0,0,4.17,1
40,279.0,0,4.17,1
41,282.0,0,4.17,1
42,281.0,0,4.17,1
43,338.0,0,4.17,1
44,336.0,0,4.17,1
45,337.0,0,4.17,1
46,191.0,0,4.17,1
47,281.0,0,4.17,1
48,282.0,0,4.17,1
49,283.0,0,4.17,1
50,283.0,0,4.17,1
51,281.0,0,4.17,1
52,281.0,0,4.17,1
53,282.0,0,4.17,1
54,338.0,0,4.17,1
55,336.0,0,4.17,1
56,281.0,0,4.17,1
57,282.0,0,3.33,1
58,282.0,0,3.33,1
59,281.0,0,4.17,1
60,282.0,0,4.17,1
61,285.0,0,4.17,1
62,281.0,0,4.17,1
63,130.0,0,4.17,1
64,189.0,0,3.33,1
65,283.0,0,3.33,1
66,283.0,0,3.33,1
67,283.0,0,4.17,1
68,282.0,0,4.17,1
69,285.0,0,3.33,1
70,282.0,0,3.33,1
71,282.0,0,3.33,1
72,282.0,0,4.17,1
73,283.0,0,4.17,1
74,282.0,0,4.17,1
75,282.0,0,4.17,1
76,283.0,0,4.17,1
77,339.0,0,4.17,1
78,281.0,0,4.17,1
79,283.0,0,4.17,1
80,282.0,0,4.17,1
81,282.0,0,4.17,1
82,282.0,0,4.17,1
83,337.0,0,4.17,1
84,337.0,0,4.17,1
85,336.0,0,4.17,1
86,282.0,0,4.17,1
87,338.0,0,4.17,1
88,284.0,0,4.17,1
89,282.0,0,4.17,1
90,282.0,0,4.17,1
91,338.0,0,4.17,1
92,280.0,0,4.17,1
93,336.0,0,4.17,1
94,282.0,0,4.17,1
95,280.0,0,4.17,1
96,337.0,0,4.17,1
97,282.0,0,4.17,1
98,282.0,0,4.17,1
99,284.0,0,4.17,1
100,283.0,0,4.17,1
101,281.0,0,4.17,1
102,281.0,0,4.17,1
103,338.0,0,4.17,1
104,284.0,0,4.17,1
105,280.0,0,4.17,1
106,335.0,0,4.17,1
107,337.0,0,4.17,1
108,283.0,0,4.17,1
109,283.0,0,4.17,1
110,338.0,0,4.17,1
111,282.0,0,4.17,1
112,338.0,0,4.17,1
113,337.0,0,4.17,1
114,337.0,0,4.17,1
115,283.0,0,4.17,1
116,283.0,0,4.17,1
117,336.0,0,4.17,1
118,337.0,0,4.17,1
119,337.0,0,4.17,1
120,282.0,0,4.17,1
