30 -> distance: -1515870848.00, motion: 0, lightIntensity: -0.00, occupied: 0
32 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
33 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
34 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
35 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
36 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
37 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
38 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
39 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
40 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
41 -> distance: 283.00, motion: 1, lightIntensity: 4.17, occupied: 1
42 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
43 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
44 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
45 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
46 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
47 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
48 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
49 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
50 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
51 -> distance: 281.00, motion: 0, lightIntensity: 3.33, occupied: 1
52 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
53 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
54 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
55 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
56 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
57 -> distance: 285.00, motion: 0, lightIntensity: 4.17, occupied: 1
58 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
59 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
60 -> distance: 281.00, motion: 1, lightIntensity: 4.17, occupied: 1
62 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
63 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
64 -> distance: 286.00, motion: 0, lightIntensity: 4.17, occupied: 1
65 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
66 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
67 -> distance: 2355.00, motion: 0, lightIntensity: 4.17, occupied: 1
68 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
69 -> distance: 279.00, motion: 0, lightIntensity: 4.17, occupied: 1
70 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
71 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
72 -> distance: 279.00, motion: 0, lightIntensity: 4.17, occupied: 1
73 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
74 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
75 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
76 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
77 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
78 -> distance: 191.00, motion: 0, lightIntensity: 4.17, occupied: 1
79 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
80 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
81 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
82 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
83 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
84 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
85 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
86 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
87 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
88 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
89 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
91 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
92 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
93 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
94 -> distance: 285.00, motion: 0, lightIntensity: 4.17, occupied: 1
95 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
96 -> distance: 130.00, motion: 0, lightIntensity: 4.17, occupied: 1
97 -> distance: 189.00, motion: 0, lightIntensity: 3.33, occupied: 1
98 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
99 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
100 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
101 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
102 -> distance: 285.00, motion: 0, lightIntensity: 3.33, occupied: 1
103 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
104 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
105 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
106 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
