second,distance,motion,lightIntensity,occupied
31,-1515870848.00,0,-0.00,0
32,333.00,0,7.50,1
33,2376.00,0,7.50,1
34,336.00,0,7.50,1
35,335.00,0,7.50,1
36,334.00,0,7.50,1
37,335.00,0,7.50,1
38,333.00,1,7.50,1
39,334.00,0,7.50,1
40,2383.00,0,7.50,1
41,336.00,0,7.50,1
42,334.00,0,7.50,1
44,334.00,0,7.50,1
45,333.00,0,7.50,1
46,335.00,0,7.50,1
47,334.00,0,7.50,1
48,335.00,0,7.50,1
49,333.00,0,7.50,1
50,333.00,0,7.50,1
51,335.00,0,7.50,1
52,334.00,0,7.50,1
53,334.00,0,7.50,1
54,333.00,0,7.50,1
55,2382.00,0,7.50,1
56,335.00,0,7.50,1
57,2382.00,1,7.50,1
58,2382.00,1,7.50,1
59,2382.00,0,7.50,1
60,2382.00,0,7.50,1
61,2382.00,0,7.50,1
62,2383.00,1,7.50,1
63,2381.00,0,7.50,1
64,2381.00,0,7.50,1
65,2384.00,0,7.50,1
66,2382.00,1,7.50,1
67,2382.00,0,7.50,1
68,2382.00,0,7.50,1
69,2382.00,0,7.50,1
70,2382.00,0,7.50,1
71,335.00,1,7.50,1
72,336.00,0,7.50,1
74,2382.00,0,7.50,1
75,2382.00,0,7.50,1
76,2381.00,0,7.50,1
77,147.00,1,7.50,1
78,2382.00,0,7.50,1
79,2382.00,0,7.50,1
80,2382.00,0,7.50,1
81,2382.00,0,7.50,1
82,2382.00,0,7.50,1
83,2382.00,1,7.50,1
84,2382.00,0,7.50,1
85,2382.00,0,7.50,1
86,2382.00,0,7.50,1
87,2382.00,0,7.50,1
88,2382.00,0,7.50,1
89,2382.00,1,7.50,1
90,335.00,0,7.50,1
91,333.00,0,7.50,1
92,2382.00,0,7.50,1
93,335.00,0,7.50,1
94,334.00,0,7.50,1
95,334.00,0,7.50,1
96,336.00,0,7.50,1
97,337.00,0,7.50,1
98,335.00,0,7.50,1
99,2382.00,1,7.50,1
100,144.00,0,6.67,1
101,2382.00,0,7.50,1
103,59.00,0,7.50,1
104,2382.00,0,7.50,1
105,2382.00,1,7.50,1
106,2382.00,1,7.50,1
107,2382.00,0,7.50,1
108,2383.00,0,7.50,1
109,2382.00,0,7.50,1
110,2382.00,1,7.50,1
111,118.00,0,7.50,1
112,2382.00,0,7.50,1
113,333.00,0,7.50,1
114,2382.00,1,7.50,1
115,334.00,1,7.50,1
116,2382.00,0,7.50,1
117,334.00,0,7.50,1
118,333.00,0,7.50,1
119,336.00,1,7.50,1
120,333.00,0,7.50,1
121,335.00,0,7.50,1
122,334.00,0,7.50,1
123,333.00,0,7.50,1
124,334.00,0,7.50,1
125,333.00,0,7.50,1
126,333.00,0,7.50,1
127,333.00,0,7.50,1
128,2382.00,1,7.50,1
129,334.00,0,7.50,1
130,335.00,0,7.50,1
131,335.00,0,7.50,1
