second,distance,motion,lightIntensity,occupied,occupied_ml
1,2391.0,0,2.5,1,0
2,2405.0,0,2.5,1,0
3,2376.0,0,2.5,1,0
4,2379.0,0,2.5,1,0
5,2379.0,0,2.5,1,0
6,2379.0,0,2.5,1,0
7,2379.0,0,2.5,1,0
8,2379.0,0,2.5,1,0
9,2380.0,0,2.5,1,0
10,2380.0,0,2.5,1,0
11,2381.0,0,2.5,1,0
12,2382.0,0,2.5,1,0
13,2380.0,1,2.5,1,0
14,2381.0,1,2.5,1,0
15,2384.0,0,2.5,1,0
16,2374.0,0,2.5,1,0
17,2382.0,0,2.5,1,0
18,2388.0,0,2.5,1,0
19,2380.0,0,2.5,1,0
20,2383.0,0,2.5,1,0
21,2387.0,0,2.5,1,0
22,2388.0,0,2.5,1,0
23,2389.0,0,2.5,1,0
24,2389.0,0,2.5,1,0
25,2388.0,0,2.5,1,0
26,2388.0,0,2.5,1,0
27,2381.0,0,2.5,1,0
28,2389.0,0,2.5,1,0
29,2389.0,0,2.5,1,0
30,2387.0,0,2.5,1,0
31,2389.0,0,2.5,1,0
32,2388.0,0,2.5,1,0
33,2383.0,0,2.5,1,0
34,2386.0,1,2.5,1,0
35,2381.0,0,2.5,1,0
36,2375.0,0,2.5,1,0
37,2379.0,0,2.5,1,0
38,2372.0,0,2.5,1,0
39,2380.0,0,2.5,1,0
40,2380.0,0,2.5,1,0
41,2380.0,0,2.5,1,0
42,2380.0,0,2.5,1,0
43,2380.0,0,2.5,1,0
44,2378.0,0,2.5,1,0
45,2379.0,0,2.5,1,0
46,2374.0,0,2.5,1,0
47,2375.0,0,2.5,1,0
48,2372.0,0,2.5,1,0
49,2381.0,0,2.5,1,0
50,2383.0,0,2.5,1,0
51,2381.0,0,2.5,1,0
52,2372.0,0,2.5,1,0
53,2382.0,0,2.5,1,0
54,2384.0,0,2.5,1,0
55,2382.0,0,2.5,1,0
56,2383.0,0,2.5,1,0
57,2377.0,0,2.5,1,0
58,2372.0,0,2.5,1,0
59,2371.0,0,2.5,1,0
60,2375.0,0,2.5,1,0
61,2369.0,0,2.5,1,0
62,2368.0,0,2.5,1,0
63,2372.0,0,2.5,1,0
64,2366.0,0,2.5,1,0
65,2380.0,0,2.5,1,0
66,2385.0,0,2.5,1,0
67,2383.0,0,2.5,1,0
68,2383.0,0,2.5,1,0
69,2385.0,0,2.5,1,0
70,2379.0,0,2.5,1,0
71,2384.0,0,2.5,1,0
72,2382.0,0,2.5,1,0
73,2385.0,0,2.5,1,0
74,2384.0,0,2.5,1,0
75,2384.0,0,2.5,1,0
76,2383.0,0,2.5,1,0
77,2385.0,0,2.5,1,0
78,2385.0,0,2.5,1,0
79,2385.0,0,2.5,1,0
80,2378.0,0,2.5,1,0
81,2370.0,0,2.5,1,0
82,2384.0,0,2.5,1,0
83,2383.0,0,2.5,1,0
84,2384.0,0,2.5,1,0
85,2383.0,0,2.5,1,0
86,2381.0,0,2.5,1,0
87,2384.0,0,2.5,1,0
88,2386.0,0,2.5,1,0
89,2388.0,0,2.5,1,0
90,2387.0,0,2.5,1,0
