second,distance,motion,lightIntensity,occupied,occupied_ml
31,-1515870848.00,0,-0.00,0,0
32,2391.00,0,2.50,1,0
33,2405.00,0,2.50,1,0
34,2376.00,0,2.50,1,0
35,2379.00,0,2.50,1,0
36,2379.00,0,2.50,1,0
37,2379.00,0,2.50,1,0
38,2379.00,0,2.50,1,0
39,2379.00,0,2.50,1,0
41,2380.00,0,2.50,1,0
42,2380.00,0,2.50,1,0
43,2381.00,0,2.50,1,0
44,2382.00,0,2.50,1,0
45,2380.00,1,2.50,1,0
46,2381.00,1,2.50,1,0
47,2384.00,0,2.50,1,0
48,2374.00,0,2.50,1,0
49,2382.00,0,2.50,1,0
50,2388.00,0,2.50,1,0
51,2380.00,0,2.50,1,0
52,2383.00,0,2.50,1,0
53,2387.00,0,2.50,1,0
54,2388.00,0,2.50,1,0
55,2389.00,0,2.50,1,0
56,2389.00,0,2.50,1,0
57,2388.00,0,2.50,1,0
58,2388.00,0,2.50,1,0
59,2381.00,0,2.50,1,0
60,2389.00,0,2.50,1,0
61,2389.00,0,2.50,1,0
62,2387.00,0,2.50,1,0
63,2389.00,0,2.50,1,0
64,2388.00,0,2.50,1,0
65,2383.00,0,2.50,1,0
66,2386.00,1,2.50,1,0
67,2381.00,0,2.50,1,0
69,2375.00,0,2.50,1,0
70,2379.00,0,2.50,1,0
71,2372.00,0,2.50,1,0
72,2380.00,0,2.50,1,0
73,2380.00,0,2.50,1,0
74,2380.00,0,2.50,1,0
75,2380.00,0,2.50,1,0
76,2380.00,0,2.50,1,0
77,2378.00,0,2.50,1,0
78,2379.00,0,2.50,1,0
79,2374.00,0,2.50,1,0
80,2375.00,0,2.50,1,0
81,2372.00,0,2.50,1,0
82,2381.00,0,2.50,1,0
83,2383.00,0,2.50,1,0
84,2381.00,0,2.50,1,0
85,2372.00,0,2.50,1,0
86,2382.00,0,2.50,1,0
87,2384.00,0,2.50,1,0
88,2382.00,0,2.50,1,0
89,2383.00,0,2.50,1,0
90,2377.00,0,2.50,1,0
91,2372.00,0,2.50,1,0
92,2371.00,0,2.50,1,0
93,2375.00,0,2.50,1,0
94,2369.00,0,2.50,1,0
95,2368.00,0,2.50,1,0
96,2372.00,0,2.50,1,0
97,2366.00,0,2.50,1,0
99,2380.00,0,2.50,1,0
100,2385.00,0,2.50,1,0
101,2383.00,0,2.50,1,0
102,2383.00,0,2.50,1,0
103,2385.00,0,2.50,1,0
104,2379.00,0,2.50,1,0
105,2384.00,0,2.50,1,0
106,2382.00,0,2.50,1,0
107,2385.00,0,2.50,1,0
108,2384.00,0,2.50,1,0
109,2384.00,0,2.50,1,0
110,2383.00,0,2.50,1,0
111,2385.00,0,2.50,1,0
112,2385.00,0,2.50,1,0
113,2385.00,0,2.50,1,0
114,2378.00,0,2.50,1,0
115,2370.00,0,2.50,1,0
116,2384.00,0,2.50,1,0
117,2383.00,0,2.50,1,0
118,2384.00,0,2.50,1,0
119,2383.00,0,2.50,1,0
120,2381.00,0,2.50,1,0
121,2384.00,0,2.50,1,0
122,2386.00,0,2.50,1,0
123,2388.00,0,2.50,1,0
124,2387.00,0,2.50,1,0
125,2388.00,0,2.50,1,0
126,2370.00,0,2.50,1,0
127,2386.00,0,2.50,1,0
128,2387.00,0,2.50,1,0
129,2387.00,0,2.50,1,0
130,2384.00,0,2.50,1,0
131,2387.00,0,2.50,1,0
132,2388.00,0,2.50,1,0
133,2385.00,0,2.50,1,0
135,2386.00,0,2.50,1,0
136,2386.00,0,2.50,1,0
137,2375.00,0,2.50,1,0
138,2385.00,0,2.50,1,0
139,2379.00,0,2.50,1,0
140,2364.00,0,2.50,1,0
141,2370.00,0,2.50,1,0
142,2377.00,0,2.50,1,0
143,2382.00,0,2.50,1,0
144,2381.00,0,2.50,1,0
145,2382.00,0,2.50,1,0
146,2382.00,0,2.50,1,0
147,2374.00,0,2.50,1,0
148,2372.00,0,2.50,1,0
149,2382.00,0,2.50,1,0
150,2381.00,0,2.50,1,0
151,2378.00,0,2.50,1,0
152,2382.00,0,2.50,1,0
153,2380.00,0,2.50,1,0
154,2382.00,0,2.50,1,0
155,2381.00,0,2.50,1,0
156,2375.00,0,2.50,1,0
157,2372.00,0,2.50,1,0
158,2381.00,0,2.50,1,0
159,2382.00,0,2.50,1,0
160,2374.00,0,2.50,1,0
161,2382.00,0,2.50,1,0
162,2382.00,0,2.50,1,0
163,2379.00,0,2.50,1,0
164,2381.00,0,2.50,1,0
165,2379.00,1,2.50,1,0
166,2379.00,1,2.50,1,0
167,2366.00,0,2.50,1,0
169,2379.00,0,2.50,1,0
170,2378.00,0,2.50,1,0
171,2380.00,0,2.50,1,0
172,2379.00,0,2.50,1,0
173,2380.00,0,2.50,1,0
174,2380.00,0,2.50,1,0
175,2372.00,0,2.50,1,0
176,2380.00,0,2.50,1,0
177,2369.00,0,2.50,1,0
178,2374.00,0,2.50,1,0
179,2380.00,0,2.50,1,0
180,2379.00,0,2.50,1,0
181,2379.00,0,2.50,1,0
182,2381.00,0,2.50,1,0
183,2378.00,0,2.50,1,0
184,2380.00,0,2.50,1,0
185,2381.00,0,2.50,1,0
186,2383.00,0,2.50,1,0
187,2377.00,0,2.50,1,0
188,2370.00,0,2.50,1,0
189,2379.00,0,2.50,1,0
190,2377.00,1,2.50,1,0
191,2381.00,0,2.50,1,0
192,2382.00,0,2.50,1,0
193,2374.00,0,2.50,1,0
194,2365.00,0,2.50,1,0
195,2381.00,0,2.50,1,0
196,2375.00,0,2.50,1,0
197,2380.00,0,2.50,1,0
198,2382.00,0,2.50,1,0
199,2381.00,0,2.50,1,0
200,2379.00,0,2.50,1,0
202,2381.00,0,2.50,1,0
203,2379.00,0,2.50,1,0
204,2380.00,0,2.50,1,0
205,2364.00,0,2.50,1,0
206,2378.00,0,2.50,1,0
207,2380.00,0,2.50,1,0
208,2377.00,0,2.50,1,0
209,2381.00,0,2.50,1,0
210,2372.00,0,2.50,1,0
211,2381.00,0,2.50,1,0
212,2377.00,0,2.50,1,0
213,2381.00,0,2.50,1,0
214,2380.00,0,2.50,1,0
215,2374.00,0,2.50,1,0
216,2381.00,0,2.50,1,0
217,2380.00,0,2.50,1,0
218,2380.00,0,2.50,1,0
219,2368.00,0,2.50,1,0
220,2379.00,0,2.50,1,0
221,2370.00,0,2.50,1,0
222,2379.00,0,2.50,1,0
223,2378.00,0,2.50,1,0
224,2380.00,0,2.50,1,0
225,2378.00,0,2.50,1,0
226,2373.00,0,2.50,1,0
227,2364.00,0,2.50,1,0
228,2375.00,0,2.50,1,0
229,2372.00,0,2.50,1,0
230,2381.00,0,2.50,1,0
231,2381.00,0,2.50,1,0
232,2369.00,0,2.50,1,0
233,2381.00,0,2.50,1,0
234,2370.00,0,2.50,1,0
236,2365.00,0,2.50,1,0
237,2367.00,0,2.50,1,0
238,2381.00,0,2.50,1,0
239,2380.00,0,2.50,1,0
240,2374.00,0,2.50,1,0
241,2374.00,0,2.50,1,0
242,2380.00,0,2.50,1,0
243,2375.00,0,2.50,1,0
244,2378.00,0,2.50,1,0
245,2363.00,0,2.50,1,0
246,2369.00,0,2.50,1,0
247,2372.00,0,2.50,1,0
248,2380.00,0,2.50,1,0
249,2379.00,0,2.50,1,0
250,2377.00,0,2.50,1,0
251,2378.00,0,2.50,1,0
252,2376.00,0,2.50,1,0
253,2371.00,0,2.50,1,0
254,2377.00,0,2.50,1,0
255,2377.00,0,2.50,1,0
