second,distance,motion,lightIntensity,occupied,occupied_note
1,101.0,0,9.17,1,1
2,92.0,0,9.17,1,1
3,90.0,0,9.17,1,1
4,253.0,0,9.17,1,1
5,182.0,0,9.17,1,1
6,253.0,0,9.17,1,1
7,253.0,0,9.17,1,1
8,244.0,0,9.17,1,1
9,179.0,0,9.17,1,1
10,245.0,0,9.17,1,1
11,252.0,0,9.17,1,1
12,190.0,1,9.17,1,1
13,189.0,0,9.17,1,1
14,186.0,0,9.17,1,1
15,188.0,0,9.17,1,1
16,246.0,0,9.17,1,1
17,248.0,0,9.17,1,1
18,140.0,0,8.33,0,1
19,183.0,0,9.17,0,1
20,86.0,0,9.17,0,1
21,87.0,0,9.17,0,1
22,98.0,0,9.17,0,1
23,90.0,0,9.17,0,1
24,119.0,0,8.33,0,1
25,102.0,0,8.33,0,1
26,90.0,0,8.33,0,1
27,100.0,0,8.33,1,1
28,102.0,0,9.17,1,1
29,89.0,0,9.17,1,1
30,88.0,0,9.17,0,1
31,99.0,0,9.17,0,1
32,87.0,0,7.5,0,1
33,71.0,1,7.5,0,1
34,111.0,1,7.5,0,1
35,78.0,0,7.5,1,1
36,87.0,0,7.5,0,1
37,86.0,0,7.5,0,1
38,89.0,0,7.5,0,1
39,61.0,0,7.5,0,1
40,78.0,0,7.5,0,1
41,86.0,0,7.5,0,1
42,86.0,0,7.5,0,1
43,86.0,0,7.5,0,1
44,95.0,0,7.5,0,1
45,193.0,0,7.5,0,1
46,108.0,0,7.5,0,1
47,85.0,0,7.5,0,1
48,75.0,0,7.5,0,1
49,102.0,0,7.5,0,1
50,126.0,0,7.5,0,1
51,186.0,0,7.5,0,1
52,117.0,0,7.5,0,1
53,127.0,0,7.5,0,1
54,214.0,0,7.5,0,1
55,117.0,0,7.5,0,1
56,100.0,0,7.5,0,1
57,117.0,0,7.5,0,1
58,151.0,0,7.5,0,1
59,95.0,0,7.5,0,1
60,111.0,0,7.5,0,1
61,105.0,0,7.5,0,1
62,131.0,0,7.5,0,1
63,185.0,0,7.5,0,1
64,31.0,1,7.5,1,1
65,106.0,0,7.5,0,1
66,91.0,0,7.5,0,1
67,98.0,0,7.5,0,1
68,116.0,1,7.5,0,1
69,99.0,1,7.5,0,1
70,127.0,0,7.5,0,1
71,79.0,0,7.5,0,1
72,108.0,0,7.5,0,1
73,108.0,0,7.5,0,1
74,87.0,1,7.5,0,1
75,100.0,1,7.5,0,1
76,101.0,0,6.67,0,1
77,156.0,0,6.67,0,1
78,24.0,1,6.67,0,1
79,80.0,1,7.5,0,1
80,85.0,0,7.5,1,1
81,82.0,0,7.5,1,1
82,80.0,0,7.5,1,1
83,127.0,1,6.67,0,1
84,86.0,0,6.67,0,1
85,87.0,0,7.5,0,1
86,82.0,0,7.5,1,1
87,159.0,0,7.5,0,1
88,101.0,0,8.33,0,1
89,103.0,0,8.33,0,1
90,89.0,0,8.33,0,1
91,91.0,0,8.33,0,1
92,138.0,0,8.33,0,1
93,96.0,0,8.33,0,1
94,88.0,0,8.33,0,1
95,84.0,0,8.33,0,1
96,87.0,0,8.33,0,1
97,86.0,0,8.33,0,1
98,87.0,0,8.33,0,1
99,85.0,0,8.33,0,1
100,87.0,0,8.33,0,1
101,87.0,0,7.5,0,1
102,123.0,0,7.5,0,1
103,84.0,0,7.5,0,1
104,80.0,0,7.5,0,1
105,103.0,0,7.5,0,1
106,93.0,0,7.5,0,1
107,114.0,0,7.5,1,1
108,84.0,0,7.5,0,1
109,91.0,0,7.5,0,1
110,89.0,0,7.5,0,1
111,88.0,0,7.5,0,1
112,87.0,0,7.5,0,1
113,85.0,0,7.5,0,1
114,86.0,0,7.5,0,1
115,92.0,0,7.5,0,1
116,91.0,0,7.5,0,1
117,82.0,0,7.5,0,1
118,88.0,0,7.5,0,1
119,86.0,0,7.5,0,1
120,86.0,0,7.5,0,1
121,85.0,0,7.5,0,1
122,88.0,0,7.5,0,1
123,83.0,0,7.5,0,1
124,144.0,0,7.5,0,1
125,93.0,0,7.5,0,1
126,91.0,0,7.5,0,1
127,125.0,0,7.5,0,1
128,85.0,0,7.5,0,1
129,87.0,0,7.5,0,1
130,126.0,0,7.5,1,1
131,82.0,0,7.5,0,1
132,79.0,0,7.5,0,1
133,81.0,0,7.5,0,1
134,85.0,0,7.5,1,1
135,74.0,0,7.5,1,1
136,124.0,0,7.5,0,1
137,84.0,0,7.5,1,1
138,86.0,0,7.5,0,1
139,86.0,0,7.5,0,1
140,85.0,0,7.5,0,1
141,89.0,0,7.5,1,1
142,88.0,0,7.5,1,1
143,79.0,0,7.5,0,1
144,100.0,0,7.5,0,1
145,118.0,0,7.5,0,1
146,86.0,0,7.5,0,1
147,124.0,0,7.5,0,1
148,84.0,0,7.5,0,1
149,119.0,0,7.5,0,1
150,117.0,0,7.5,0,1
151,100.0,0,7.5,0,1
152,125.0,0,7.5,0,1
153,162.0,0,7.5,0,1
154,84.0,0,7.5,1,1
155,84.0,0,7.5,0,1
156,84.0,0,7.5,0,1
157,83.0,0,7.5,0,1
158,88.0,0,7.5,0,1
159,106.0,0,7.5,0,1
160,138.0,0,7.5,0,1
161,76.0,0,7.5,0,1
162,80.0,0,7.5,0,1
163,89.0,0,7.5,0,1
164,84.0,0,7.5,0,1
165,87.0,0,7.5,0,1
166,94.0,0,7.5,0,1
167,110.0,0,7.5,0,1
168,97.0,0,7.5,0,1
169,189.0,0,7.5,0,1
170,154.0,0,7.5,1,1
171,103.0,0,7.5,1,1
172,113.0,0,7.5,1,1
173,79.0,0,7.5,1,1
174,94.0,0,7.5,1,1
175,101.0,0,7.5,1,1
176,84.0,0,7.5,1,1
177,116.0,0,7.5,1,1
178,102.0,0,7.5,1,1
179,88.0,0,7.5,1,1
180,123.0,0,7.5,1,1
181,94.0,0,7.5,1,1
182,113.0,0,7.5,1,1
183,87.0,0,7.5,1,1
184,106.0,0,7.5,1,1
185,86.0,0,7.5,1,1
186,104.0,0,7.5,1,1
187,155.0,0,7.5,0,1
188,83.0,0,7.5,0,1
189,87.0,0,7.5,0,1
190,85.0,0,7.5,0,1
191,91.0,0,7.5,0,1
192,87.0,0,7.5,0,1
193,83.0,0,7.5,0,1
194,94.0,0,7.5,0,1
195,87.0,0,7.5,0,1
196,89.0,0,7.5,0,1
197,88.0,0,7.5,0,1
198,88.0,0,7.5,0,1
199,106.0,0,7.5,0,1
200,89.0,0,7.5,1,1
201,89.0,0,7.5,1,1
202,100.0,0,7.5,1,1
203,88.0,0,7.5,1,1
204,85.0,0,7.5,1,1
205,87.0,0,7.5,1,1
206,165.0,0,7.5,1,1
207,88.0,0,7.5,0,1
208,82.0,0,7.5,0,1
209,90.0,0,7.5,0,1
210,85.0,0,7.5,0,1
211,77.0,0,7.5,0,1
212,102.0,0,7.5,0,1
213,77.0,0,7.5,0,1
214,82.0,0,7.5,0,1
215,92.0,0,7.5,0,1
216,88.0,0,7.5,0,1
217,92.0,0,7.5,0,1
218,80.0,0,7.5,0,1
219,83.0,0,7.5,0,1
220,88.0,0,7.5,0,1
221,90.0,0,7.5,0,1
222,91.0,0,7.5,0,1
223,113.0,0,7.5,0,1
224,100.0,0,7.5,0,1
225,103.0,0,7.5,0,1
226,138.0,0,7.5,0,1
227,97.0,0,7.5,0,1
228,146.0,0,7.5,0,1
229,94.0,0,7.5,1,1
230,92.0,0,7.5,1,1
231,91.0,0,7.5,1,1
232,90.0,0,7.5,1,1
233,98.0,0,7.5,0,1
234,93.0,0,7.5,0,1
235,114.0,0,7.5,0,1
236,126.0,0,7.5,0,1
237,94.0,0,7.5,0,1
238,83.0,0,7.5,0,1
239,104.0,0,7.5,0,1
240,103.0,0,7.5,0,1
241,76.0,0,7.5,0,1
242,88.0,0,7.5,0,1
243,175.0,0,7.5,1,1
244,93.0,0,7.5,1,1
245,90.0,0,7.5,1,1
246,113.0,0,7.5,1,1
247,186.0,0,7.5,1,1
248,91.0,0,7.5,1,1
249,166.0,0,7.5,1,1
250,99.0,0,7.5,0,1
251,96.0,0,7.5,0,1
252,73.0,0,7.5,0,1
253,86.0,0,7.5,0,1
254,89.0,0,7.5,1,1
255,106.0,0,7.5,1,1
256,143.0,0,7.5,0,1
257,105.0,0,7.5,1,1
258,94.0,0,7.5,0,1
259,113.0,0,7.5,0,1
260,157.0,0,7.5,0,1
261,120.0,0,7.5,0,1
262,98.0,0,7.5,0,1
263,99.0,0,7.5,0,1
264,90.0,0,7.5,0,1
265,168.0,0,7.5,0,1
266,87.0,0,7.5,0,1
267,115.0,0,7.5,0,1
268,99.0,0,7.5,0,1
269,95.0,0,7.5,0,1
270,114.0,0,7.5,0,1
271,88.0,0,7.5,0,1
272,93.0,0,7.5,0,1
273,105.0,0,7.5,0,1
274,134.0,0,7.5,0,1
275,89.0,0,7.5,0,1
276,89.0,0,7.5,0,1
277,80.0,0,7.5,0,1
278,95.0,0,7.5,0,1
279,88.0,0,7.5,1,1
280,103.0,0,7.5,0,1
281,207.0,0,7.5,1,1
282,118.0,0,7.5,0,1
283,104.0,0,7.5,1,1
284,109.0,0,7.5,1,1
285,141.0,0,7.5,0,1
286,86.0,0,7.5,0,1
287,104.0,0,7.5,0,1
288,110.0,0,7.5,0,1
289,154.0,0,7.5,0,1
290,95.0,0,7.5,0,1
291,95.0,0,7.5,0,1
292,79.0,0,7.5,0,1
293,103.0,0,7.5,0,1
294,120.0,0,7.5,1,1
295,91.0,0,7.5,1,1
296,128.0,0,7.5,0,1
297,98.0,0,7.5,0,1
298,173.0,0,7.5,0,1
299,87.0,0,7.5,0,1
300,98.0,0,7.5,0,1
301,82.0,0,7.5,0,1
302,82.0,0,7.5,0,1
303,87.0,0,7.5,0,1
304,94.0,0,7.5,0,1
305,85.0,0,7.5,0,1
306,88.0,0,7.5,0,1
307,84.0,0,7.5,0,1
308,142.0,0,7.5,0,1
309,130.0,0,7.5,0,1
310,101.0,0,7.5,0,1
311,155.0,0,7.5,0,1
312,106.0,0,7.5,0,1
313,105.0,0,7.5,1,1
314,107.0,0,7.5,1,1
315,126.0,0,7.5,0,1
316,147.0,0,7.5,0,1
317,113.0,0,7.5,0,1
318,206.0,0,7.5,0,1
319,104.0,0,7.5,0,1
320,100.0,0,7.5,0,1
321,103.0,0,7.5,0,1
322,92.0,0,7.5,0,1
323,98.0,0,7.5,1,1
324,151.0,0,7.5,1,1
325,119.0,0,7.5,1,1
326,98.0,0,7.5,0,1
327,91.0,0,7.5,0,1
328,115.0,0,7.5,0,1
329,90.0,0,7.5,0,1
330,147.0,0,7.5,0,1
331,98.0,0,7.5,0,1
332,130.0,0,7.5,0,1
333,92.0,0,7.5,0,1
334,172.0,0,7.5,1,1
335,122.0,0,7.5,0,1
336,82.0,0,7.5,0,1
337,104.0,0,7.5,0,1
338,119.0,0,7.5,0,1
339,122.0,0,7.5,0,1
340,102.0,0,7.5,1,1
341,105.0,0,7.5,1,1
342,82.0,0,7.5,0,1
343,139.0,0,7.5,0,1
344,189.0,0,7.5,0,1
345,89.0,0,7.5,0,1
346,94.0,0,7.5,1,1
347,84.0,0,7.5,0,1
348,88.0,0,7.5,0,1
349,105.0,0,7.5,0,1
350,88.0,0,7.5,1,1
351,90.0,0,7.5,1,1
352,140.0,0,7.5,1,1
353,95.0,0,7.5,0,1
354,79.0,0,7.5,0,1
355,97.0,0,7.5,0,1
356,155.0,0,7.5,0,1
357,96.0,0,7.5,0,1
358,118.0,0,7.5,0,1
359,85.0,0,7.5,0,1
360,95.0,0,7.5,0,1
361,124.0,0,7.5,0,1
362,92.0,0,7.5,0,1
363,108.0,0,7.5,0,1
364,109.0,0,7.5,0,1
365,90.0,0,7.5,0,1
366,89.0,0,7.5,0,1
367,97.0,0,7.5,0,1
368,181.0,0,7.5,0,1
369,104.0,0,7.5,0,1
370,86.0,0,7.5,0,1
371,168.0,0,7.5,0,1
372,107.0,0,7.5,0,1
373,85.0,0,7.5,1,1
374,147.0,0,7.5,1,1
375,88.0,0,7.5,1,1
376,88.0,0,7.5,0,1
377,97.0,0,7.5,0,1
