second,distance,motion,lightIntensity,occupied,occupied_note
1,344.0,0,8.33,1,1
2,344.0,0,8.33,1,1
3,345.0,0,8.33,1,1
4,2378.0,0,8.33,1,1
5,346.0,0,8.33,1,1
6,2376.0,0,8.33,1,1
7,345.0,0,8.33,1,1
8,345.0,0,8.33,1,1
9,347.0,0,8.33,1,1
10,344.0,0,8.33,1,1
11,345.0,0,8.33,1,1
12,345.0,0,8.33,1,1
13,344.0,0,8.33,1,1
14,346.0,0,8.33,1,1
15,2373.0,1,8.33,1,1
16,346.0,0,8.33,1,1
17,2373.0,0,8.33,1,1
18,347.0,0,8.33,1,1
19,346.0,0,8.33,1,1
20,344.0,0,8.33,1,1
21,344.0,0,8.33,1,1
22,347.0,0,8.33,1,1
23,2378.0,0,8.33,1,1
24,344.0,0,8.33,1,1
25,2378.0,0,8.33,1,1
26,344.0,0,8.33,1,1
27,345.0,0,8.33,1,1
28,346.0,0,8.33,1,1
29,347.0,0,8.33,1,1
30,345.0,0,8.33,1,1
31,346.0,0,8.33,1,1
32,344.0,0,8.33,1,1
33,2378.0,0,8.33,1,1
34,2378.0,0,8.33,1,1
35,347.0,1,8.33,1,1
36,2381.0,0,8.33,1,1
37,347.0,0,8.33,1,1
38,345.0,0,8.33,1,1
39,2386.0,0,8.33,1,1
40,347.0,0,8.33,1,1
41,2385.0,0,8.33,1,1
42,346.0,0,8.33,1,1
43,345.0,0,8.33,1,1
44,346.0,0,8.33,1,1
45,2386.0,0,8.33,1,1
46,346.0,0,8.33,1,1
47,2386.0,0,8.33,1,1
48,2387.0,0,8.33,1,1
49,2387.0,0,8.33,1,1
50,2387.0,1,8.33,1,1
51,2387.0,0,8.33,1,1
52,346.0,0,8.33,1,1
53,2386.0,0,8.33,1,1
54,2385.0,0,8.33,1,1
55,347.0,0,8.33,1,1
56,348.0,1,8.33,1,1
57,347.0,0,8.33,1,1
58,345.0,0,8.33,1,1
59,2384.0,0,8.33,1,1
60,347.0,0,8.33,1,1
61,2379.0,0,8.33,1,1
62,2379.0,0,8.33,1,1
63,346.0,0,8.33,1,1
64,346.0,0,8.33,1,1
65,345.0,0,8.33,1,1
66,2382.0,0,8.33,1,1
67,2384.0,0,8.33,1,1
68,2383.0,0,8.33,1,1
69,345.0,0,8.33,1,1
70,346.0,0,8.33,1,1
71,2379.0,0,8.33,1,1
72,2379.0,0,8.33,1,1
73,346.0,0,8.33,1,1
74,2377.0,0,8.33,1,1
75,2373.0,0,8.33,1,1
76,2372.0,0,8.33,1,1
77,2371.0,0,8.33,1,1
78,2369.0,0,8.33,1,1
79,2367.0,0,8.33,1,1
80,2363.0,0,8.33,1,1
81,2362.0,0,8.33,1,1
82,2361.0,0,8.33,1,1
83,347.0,0,8.33,1,1
84,347.0,0,8.33,1,1
