second,distance,motion,lightIntensity,occupied
1,101.0,0,9.17,1
2,92.0,0,9.17,1
3,90.0,0,9.17,1
4,253.0,0,9.17,1
5,182.0,0,9.17,1
6,253.0,0,9.17,1
7,253.0,0,9.17,1
8,244.0,0,9.17,1
9,179.0,0,9.17,1
10,245.0,0,9.17,1
11,252.0,0,9.17,1
12,190.0,1,9.17,1
13,189.0,0,9.17,1
14,186.0,0,9.17,1
15,188.0,0,9.17,1
16,246.0,0,9.17,1
17,248.0,0,9.17,1
18,140.0,0,8.33,0
19,183.0,0,9.17,0
20,86.0,0,9.17,0
21,87.0,0,9.17,0
22,98.0,0,9.17,0
23,90.0,0,9.17,0
24,119.0,0,8.33,0
25,102.0,0,8.33,0
26,90.0,0,8.33,0
27,100.0,0,8.33,1
28,102.0,0,9.17,1
29,89.0,0,9.17,1
30,88.0,0,9.17,0
31,99.0,0,9.17,0
32,87.0,0,7.5,0
33,71.0,1,7.5,0
34,111.0,1,7.5,0
35,78.0,0,7.5,1
36,87.0,0,7.5,0
37,86.0,0,7.5,0
38,89.0,0,7.5,0
39,61.0,0,7.5,0
40,78.0,0,7.5,0
41,86.0,0,7.5,0
42,86.0,0,7.5,0
43,86.0,0,7.5,0
44,95.0,0,7.5,0
45,193.0,0,7.5,0
46,108.0,0,7.5,0
47,85.0,0,7.5,0
48,75.0,0,7.5,0
49,102.0,0,7.5,0
50,126.0,0,7.5,0
51,186.0,0,7.5,0
52,117.0,0,7.5,0
53,127.0,0,7.5,0
54,214.0,0,7.5,0
55,117.0,0,7.5,0
56,100.0,0,7.5,0
57,117.0,0,7.5,0
58,151.0,0,7.5,0
59,95.0,0,7.5,0
60,111.0,0,7.5,0
61,105.0,0,7.5,0
62,131.0,0,7.5,0
63,185.0,0,7.5,0
64,31.0,1,7.5,1
65,106.0,0,7.5,0
66,91.0,0,7.5,0
67,98.0,0,7.5,0
68,116.0,1,7.5,0
69,99.0,1,7.5,0
70,127.0,0,7.5,0
71,79.0,0,7.5,0
72,108.0,0,7.5,0
73,108.0,0,7.5,0
74,87.0,1,7.5,0
75,100.0,1,7.5,0
76,101.0,0,6.67,0
77,156.0,0,6.67,0
78,24.0,1,6.67,0
79,80.0,1,7.5,0
80,85.0,0,7.5,1
81,82.0,0,7.5,1
82,80.0,0,7.5,1
83,127.0,1,6.67,0
84,86.0,0,6.67,0
85,87.0,0,7.5,0
86,82.0,0,7.5,1
87,159.0,0,7.5,0
88,101.0,0,8.33,0
89,103.0,0,8.33,0
90,89.0,0,8.33,0
91,91.0,0,8.33,0
92,138.0,0,8.33,0
93,96.0,0,8.33,0
94,88.0,0,8.33,0
95,84.0,0,8.33,0
96,87.0,0,8.33,0
97,86.0,0,8.33,0
98,87.0,0,8.33,0
99,85.0,0,8.33,0
100,87.0,0,8.33,0
101,87.0,0,7.5,0
102,123.0,0,7.5,0
103,84.0,0,7.5,0
104,80.0,0,7.5,0
105,103.0,0,7.5,0
106,93.0,0,7.5,0
107,114.0,0,7.5,1
108,84.0,0,7.5,0
109,91.0,0,7.5,0
110,89.0,0,7.5,0
111,88.0,0,7.5,0
112,87.0,0,7.5,0
113,85.0,0,7.5,0
114,86.0,0,7.5,0
115,92.0,0,7.5,0
116,91.0,0,7.5,0
117,82.0,0,7.5,0
118,88.0,0,7.5,0
119,86.0,0,7.5,0
120,86.0,0,7.5,0
121,85.0,0,7.5,0
122,88.0,0,7.5,0
123,83.0,0,7.5,0
124,144.0,0,7.5,0
125,93.0,0,7.5,0
126,91.0,0,7.5,0
127,125.0,0,7.5,0
128,85.0,0,7.5,0
129,87.0,0,7.5,0
130,126.0,0,7.5,1
131,82.0,0,7.5,0
132,79.0,0,7.5,0
133,81.0,0,7.5,0
134,85.0,0,7.5,1
135,74.0,0,7.5,1
136,124.0,0,7.5,0
137,84.0,0,7.5,1
138,86.0,0,7.5,0
139,86.0,0,7.5,0
140,85.0,0,7.5,0
141,89.0,0,7.5,1
142,88.0,0,7.5,1
143,79.0,0,7.5,0
144,100.0,0,7.5,0
145,118.0,0,7.5,0
146,86.0,0,7.5,0
147,124.0,0,7.5,0
148,84.0,0,7.5,0
149,119.0,0,7.5,0
150,117.0,0,7.5,0
151,100.0,0,7.5,0
152,125.0,0,7.5,0
153,162.0,0,7.5,0
154,84.0,0,7.5,1
155,84.0,0,7.5,0
156,84.0,0,7.5,0
157,83.0,0,7.5,0
158,88.0,0,7.5,0
159,106.0,0,7.5,0
160,138.0,0,7.5,0
161,76.0,0,7.5,0
162,80.0,0,7.5,0
163,89.0,0,7.5,0
164,84.0,0,7.5,0
165,87.0,0,7.5,0
166,94.0,0,7.5,0
167,110.0,0,7.5,0
168,97.0,0,7.5,0
169,189.0,0,7.5,0
170,154.0,0,7.5,1
171,103.0,0,7.5,1
172,113.0,0,7.5,1
173,79.0,0,7.5,1
174,94.0,0,7.5,1
175,101.0,0,7.5,1
176,84.0,0,7.5,1
177,116.0,0,7.5,1
178,102.0,0,7.5,1
179,88.0,0,7.5,1
180,123.0,0,7.5,1
181,94.0,0,7.5,1
182,113.0,0,7.5,1
183,87.0,0,7.5,1
184,106.0,0,7.5,1
185,86.0,0,7.5,1
186,104.0,0,7.5,1
187,155.0,0,7.5,0
188,83.0,0,7.5,0
189,87.0,0,7.5,0
190,85.0,0,7.5,0
191,91.0,0,7.5,0
192,87.0,0,7.5,0
193,83.0,0,7.5,0
194,94.0,0,7.5,0
195,87.0,0,7.5,0
196,89.0,0,7.5,0
197,88.0,0,7.5,0
198,88.0,0,7.5,0
199,106.0,0,7.5,0
200,89.0,0,7.5,1
201,89.0,0,7.5,1
202,100.0,0,7.5,1
203,88.0,0,7.5,1
204,85.0,0,7.5,1
205,87.0,0,7.5,1
206,165.0,0,7.5,1
207,88.0,0,7.5,0
208,82.0,0,7.5,0
209,90.0,0,7.5,0
210,85.0,0,7.5,0
211,77.0,0,7.5,0
212,102.0,0,7.5,0
213,77.0,0,7.5,0
214,82.0,0,7.5,0
215,92.0,0,7.5,0
216,88.0,0,7.5,0
217,92.0,0,7.5,0
218,80.0,0,7.5,0
219,83.0,0,7.5,0
220,88.0,0,7.5,0
221,90.0,0,7.5,0
222,91.0,0,7.5,0
223,113.0,0,7.5,0
224,100.0,0,7.5,0
225,103.0,0,7.5,0
226,138.0,0,7.5,0
227,97.0,0,7.5,0
228,146.0,0,7.5,0
229,94.0,0,7.5,1
230,92.0,0,7.5,1
231,91.0,0,7.5,1
232,90.0,0,7.5,1
233,98.0,0,7.5,0
234,93.0,0,7.5,0
235,114.0,0,7.5,0
236,126.0,0,7.5,0
237,94.0,0,7.5,0
238,83.0,0,7.5,0
239,104.0,0,7.5,0
240,103.0,0,7.5,0
241,76.0,0,7.5,0
242,88.0,0,7.5,0
243,175.0,0,7.5,1
244,93.0,0,7.5,1
245,90.0,0,7.5,1
246,113.0,0,7.5,1
247,186.0,0,7.5,1
248,91.0,0,7.5,1
249,166.0,0,7.5,1
250,99.0,0,7.5,0
251,96.0,0,7.5,0
252,73.0,0,7.5,0
253,86.0,0,7.5,0
254,89.0,0,7.5,1
255,106.0,0,7.5,1
256,143.0,0,7.5,0
257,105.0,0,7.5,1
258,94.0,0,7.5,0
259,113.0,0,7.5,0
260,157.0,0,7.5,0
261,120.0,0,7.5,0
262,98.0,0,7.5,0
263,99.0,0,7.5,0
264,90.0,0,7.5,0
265,168.0,0,7.5,0
266,87.0,0,7.5,0
267,115.0,0,7.5,0
268,99.0,0,7.5,0
269,95.0,0,7.5,0
270,114.0,0,7.5,0
271,88.0,0,7.5,0
272,93.0,0,7.5,0
273,105.0,0,7.5,0
274,134.0,0,7.5,0
275,89.0,0,7.5,0
276,89.0,0,7.5,0
277,80.0,0,7.5,0
278,95.0,0,7.5,0
279,88.0,0,7.5,1
280,103.0,0,7.5,0
281,207.0,0,7.5,1
282,118.0,0,7.5,0
283,104.0,0,7.5,1
284,109.0,0,7.5,1
285,141.0,0,7.5,0
286,86.0,0,7.5,0
287,104.0,0,7.5,0
288,110.0,0,7.5,0
289,154.0,0,7.5,0
290,95.0,0,7.5,0
